epoch,accuracy,learning_rate,loss,val_accuracy,val_auroc,val_loss
0,0.8866917490959167,0.0010000000474974513,0.2597584128379822,0.8740222454071045,0.9207873828067117,0.2897942364215851
1,0.9319947957992554,0.0010000000474974513,0.1646130084991455,0.936781108379364,0.959804000668659,0.1601646989583969
2,0.9451642632484436,0.0010000000474974513,0.13794755935668945,0.9753381609916687,0.958320875078375,0.088741235435009
3,0.9509791135787964,0.0010000000474974513,0.12422993034124374,0.9264746308326721,0.9739238836217057,0.18693991005420685
4,0.9567736983299255,0.0010000000474974513,0.11249152570962906,0.9817796945571899,0.9913870612387171,0.050200119614601135
5,0.9598128199577332,0.0010000000474974513,0.10449288785457611,0.9769945740699768,0.9681458899887309,0.06882957369089127
6,0.9615957140922546,0.0010000000474974513,0.09799071401357651,0.9262906312942505,0.9915489526364831,0.19245265424251556
7,0.9633584022521973,0.0010000000474974513,0.09397688508033752,0.97708660364151,0.9767435360772607,0.06234005093574524
8,0.9707434773445129,0.0005000000237487257,0.07721105217933655,0.9606146812438965,0.9859056927237989,0.104865163564682
9,0.9718274474143982,0.0005000000237487257,0.07396580278873444,0.9052176475524902,0.9829621168855893,0.23724305629730225
10,0.9725264310836792,0.0005000000237487257,0.07201466709375381,0.9877611398696899,0.9917153263693664,0.03418714180588722
11,0.9738940000534058,0.0005000000237487257,0.06835294514894485,0.9780988097190857,0.9786743678457316,0.06297974288463593
12,0.9742891192436218,0.0005000000237487257,0.06691815704107285,0.9778227806091309,0.9876295460765594,0.06258740276098251
13,0.9744207859039307,0.0005000000237487257,0.06671448796987534,0.9291432499885559,0.9915318142963289,0.19025622308254242
14,0.9774396419525146,0.0002500000118743628,0.0592074990272522,0.9843562841415405,0.9892948654060232,0.04640267416834831
15,0.9787667393684387,0.0002500000118743628,0.05595279857516289,0.9858286380767822,0.9893515537619184,0.041479818522930145
16,0.9796683192253113,0.0002500000118743628,0.055078569799661636,0.9818717241287231,0.9883403916928093,0.05170852690935135
17,0.9798911809921265,0.0001250000059371814,0.05271540582180023,0.9760743379592896,0.9882895040058893,0.0646628811955452
18,0.9802964329719543,0.0001250000059371814,0.05040384456515312,0.980675458908081,0.9886799944946378,0.051438286900520325
19,0.9812284111976624,0.0001250000059371814,0.049114156514406204,0.980675458908081,0.9892445050526463,0.052978307008743286
20,0.9814006090164185,6.25000029685907e-05,0.047532688826322556,0.9816876649856567,0.9891527490161275,0.05141298845410347
